,Book_Name,Author,Rating,Score,Votes,Average_Rating
147,A Story of Yesterday,Sergio Cobo,13013,126200,1262,4.6
148,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,190887,125334,1409,4.53
149,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,748634,123950,1400,4.26
150,Peter Pan,J.M. Barrie,347298,122397,1520,4.04
151,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,947870,122396,1306,4.49
152,The Addiction Manifesto,Jerry Weaver,1155,115064,1151,4.82
153,Love in the Time of Cholera,Gabriel García Márquez,504704,114314,1359,3.94
154,"Insurgent (Divergent, #2)",Veronica Roth,1498900,113244,1293,3.97
155,A Walk to Remember,Nicholas Sparks,804884,111925,1305,4.2
156,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,1082319,111105,1299,4.42
157,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,1056183,110504,1312,4.37
158,The Thorn Birds,Colleen McCullough,349953,110177,1333,4.24
159,The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,9388,108688,1251,4.44
160,"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,365807,108427,1206,4.34
161,How the Grinch Stole Christmas!,Dr. Seuss,413914,107931,1387,4.38
162,"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,444876,107713,1198,4.56
163,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,3680328,107428,1271,4.33
164,"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,323151,107287,1261,4.38
165,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,1172907,106082,1263,4.24
166,Their Eyes Were Watching God,Zora Neale Hurston,347242,105753,1221,3.98
167,The Importance of Being Earnest,Oscar Wilde,370509,105277,1305,4.17
168,"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,453266,103932,1353,4.0
169,Atonement,Ian McEwan,519740,103781,1239,3.94
170,"Eat, Pray, Love",Elizabeth Gilbert,1743560,103274,1194,3.63
171,The Three Musketeers,Alexandre Dumas,322478,103172,1291,4.09
172,"The Maze Runner (The Maze Runner, #1)",James Dashner,1528407,102379,1174,4.05
173,The Lorax,Dr. Seuss,343700,101836,1244,4.35
174,Goodnight Moon,Margaret Wise Brown,373882,100629,1251,4.31
175,The Haunting of Hill House,Shirley Jackson,303371,98440,1039,3.82
176,A Midsummer Night’s Dream,William Shakespeare,540333,98244,1282,3.95
177,"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,1481396,97992,1077,4.19
178,"Frostbite (Vampire Academy, #2)",Richelle Mead,355221,97563,1109,4.26
179,The Secret History,Donna Tartt,742286,96153,1062,4.17
180,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,221283,96116,1130,4.49
181,Tess of the D’Urbervilles,Thomas Hardy,283588,94835,1162,3.83
182,Heart of Darkness,Joseph Conrad,513097,94631,1168,3.43
183,Bridge to Terabithia,Katherine Paterson,546291,93774,1176,4.05
184,The Song of Achilles,Madeline Miller,1485735,93517,996,4.33
185,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,622341,93455,1182,4.2
186,"Blood Promise (Vampire Academy, #4)",Richelle Mead,313084,92554,1056,4.3
187,The Prophet,Kahlil Gibran,298689,92191,1109,4.23
